
zip,city,num_ppl_with_hiv_13to24,num_ppl_with_hiv_25to44,num_ppl_with_hiv_45to59,num_ppl_with_hiv_60plus,num_ppl_with_hiv_asian,num_ppl_with_hiv_black,num_ppl_with_hiv,num_ppl_with_hiv_female,num_ppl_with_hiv_hispanic,num_ppl_with_hiv_male,num_ppl_with_hiv_white,num_new_HIV_diagnoses_btwn_2012_2016_13to24,num_new_HIV_diagnoses_btwn_2012_2016_25to44,num_new_HIV_diagnoses_btwn_2012_2016_45to59,num_new_HIV_diagnoses_btwn_2012_2016_60plus,num_new_HIV_diagnoses_btwn_2012_2016_asian,num_new_HIV_diagnoses_btwn_2012_2016_black,num_new_HIV_diagnoses_btwn_2012_2016,num_new_HIV_diagnoses_btwn_2012_2016_female,num_new_HIV_diagnoses_btwn_2012_2016_hispanic,num_new_HIV_diagnoses_btwn_2012_2016_male,num_new_HIV_diagnoses_btwn_2012_2016_white,rate_ppl_with_hiv_per_100k_13to24,rate_ppl_with_hiv_per_100k_25to44,rate_ppl_with_hiv_per_100k_45to59,rate_ppl_with_hiv_per_100k_60plus,rate_ppl_with_hiv_per_100k_asian,rate_ppl_with_hiv_per_100k_black,rate_ppl_with_hiv_per_100k,rate_denominator,year,rate_ppl_with_hiv_per_100k_female,rate_ppl_with_hiv_per_100k_hispanic,rate_ppl_with_hiv_per_100k_male,rate_ppl_with_hiv_per_100k_white
28227,Charlotte,9,118,100,41,,176,268,80,22,188,61,12,28,11,5,,33,56,11,6,45,15,113,852,960,516,,1753,667,100000,2016,382,427,978,265
28262,Charlotte,16,107,54,29,,165,206,52,14,154,21,28,30,7,,,57,66,9,5,57,,128,848,1182,1197,,1374,642,100000,2016,322,555,965,164
28273,Charlotte,12,93,77,20,,122,202,43,33,159,39,13,25,6,,,23,46,6,10,40,12,244,766,1345,770,,1486,796,100000,2016,324,675,1310,389
28211,Charlotte,6,45,77,23,,79,151,32,8,119,60,5,15,8,,,14,31,,,27,13,172,545,1329,402,,2819,649,100000,2016,261,741,1083,329
28105,Charlotte,5,34,51,13,,41,103,32,13,71,39,,11,6,,,11,22,5,,17,7,81,325,558,189,,1053,316,100000,2016,185,579,464,159
28209,Charlotte,6,38,57,13,,48,114,24,11,90,51,5,11,,,,10,20,,,18,,262,458,1607,416,,2909,661,100000,2016,266,604,1094,388
28202,Charlotte,10,57,65,22,,90,154,26,,128,43,7,14,,,,18,26,,,24,5,323,1046,5444,2632,,2793,1456,100000,2016,576,,2113,679
28278,Charlotte,5,38,25,8,,49,76,17,5,59,19,,5,,,,8,13,,,9,,218,532,672,394,,1405,500,100000,2016,218,267,798,219
28203,Charlotte,,48,65,23,,99,140,42,,98,28,,15,,,,10,22,,,18,10,,1001,3035,1820,,3667,1445,100000,2016,837,,2098,438
28277,Charlotte,,32,35,20,,30,90,14,6,76,49,,6,5,,,5,17,,,15,8,,166,261,265,,792,188,100000,2016,55,222,337,135
28226,Charlotte,,21,47,8,,25,78,17,11,61,39,,7,9,,,9,20,,,18,9,,207,554,104,,1247,250,100000,2016,102,516,417,154
28204,Charlotte,,33,39,12,,54,85,17,,68,29,,7,,,,7,9,,,8,,,1563,4839,2139,,5217,2024,100000,2016,766,,3431,997
28270,Charlotte,,20,18,14,,24,56,10,,46,30,7,8,,,,8,18,,,17,7,,226,246,290,,1017,219,100000,2016,74,,383,149
28078,Charlotte,,32,33,9,,32,78,16,5,62,39,6,,,,,5,16,,,12,7,,182,311,155,,808,192,100000,2016,76,188,315,121
28134,Charlotte,,21,16,5,,25,43,10,,33,14,,5,5,,,5,11,,,9,5,,676,906,310,,1806,552,100000,2016,236,,930,301
28031,Charlotte,,18,18,8,,17,45,7,,38,24,,,,,,,7,,,7,,,221,342,205,,1502,224,100000,2016,68,,389,138
28207,Charlotte,,5,15,,,,25,5,,20,15,,,,,,,5,,,5,,,210,799,,,,324,100000,2016,118,,572,209
28036,Charlotte,,10,11,,,13,21,,,18,7,,,,,,,,,,,,,293,375,,,1648,175,100000,2016,,,312,68
~                                                                                                
